step,vehicle_count,total_waiting,avg_travel_time,strategy
170,56,14,88.92857142857143,baseline
171,56,14,89.92857142857143,baseline
172,56,14,90.92857142857143,baseline
173,56,15,91.92857142857143,baseline
174,56,12,92.92857142857143,baseline
175,56,9,93.92857142857143,baseline
176,58,10,91.6896551724138,baseline
177,58,9,92.6896551724138,baseline
178,58,7,93.6896551724138,baseline
179,58,10,94.6896551724138,baseline
180,60,8,92.53333333333333,baseline
181,60,8,93.53333333333333,baseline
182,60,10,94.53333333333333,baseline
183,60,10,95.53333333333333,baseline
184,62,9,93.45161290322581,baseline
185,62,10,94.45161290322581,baseline
186,62,10,95.45161290322581,baseline
187,62,9,96.45161290322581,baseline
188,62,10,97.45161290322581,baseline
189,62,11,98.45161290322581,baseline
190,62,10,99.45161290322581,baseline
191,62,10,100.45161290322581,baseline
192,64,11,98.3125,baseline
193,64,11,99.3125,baseline
194,64,12,100.3125,baseline
195,64,13,101.3125,baseline
196,64,13,102.3125,baseline
197,63,14,103.296875,baseline
198,62,15,104.265625,baseline
199,62,15,105.234375,baseline
200,64,16,103.01515151515152,baseline
201,64,16,103.98484848484848,baseline
202,64,16,104.95454545454545,baseline
203,64,16,105.92424242424242,baseline
204,64,16,106.89393939393939,baseline
205,63,17,107.84848484848484,baseline
206,62,17,108.78787878787878,baseline
207,62,18,109.72727272727273,baseline
208,64,19,107.44117647058823,baseline
209,64,17,108.38235294117646,baseline
210,65,15,106.21428571428571,baseline
211,65,15,107.14285714285714,baseline
212,65,14,108.07142857142857,baseline
213,65,15,109.0,baseline
214,65,15,109.92857142857143,baseline
215,65,14,110.85714285714286,baseline
216,67,12,108.70833333333333,baseline
217,67,12,109.63888888888889,baseline
218,67,12,110.56944444444444,baseline
219,67,10,111.5,baseline
220,67,11,112.43055555555556,baseline
221,66,10,113.34722222222223,baseline
222,66,9,114.26388888888889,baseline
223,66,9,115.18055555555556,baseline
224,68,8,112.98648648648648,baseline
225,68,7,113.9054054054054,baseline
226,68,7,114.82432432432432,baseline
227,68,8,115.74324324324324,baseline
228,68,7,116.66216216216216,baseline
229,68,9,117.58108108108108,baseline
230,68,9,118.5,baseline
231,68,8,119.41891891891892,baseline
232,70,8,117.19736842105263,baseline
233,70,9,118.11842105263158,baseline
234,70,9,119.03947368421052,baseline
235,69,10,119.94736842105263,baseline
236,69,11,120.85526315789474,baseline
237,69,10,121.76315789473684,baseline
238,69,10,122.67105263157895,baseline
239,69,10,123.57894736842105,baseline
240,73,10,118.3125,baseline
241,73,11,119.225,baseline
242,73,12,120.1375,baseline
243,73,16,121.05,baseline
244,73,15,121.9625,baseline
245,73,12,122.875,baseline
246,73,11,123.7875,baseline
247,73,10,124.7,baseline
248,75,12,122.57317073170732,baseline
249,74,14,123.47560975609755,baseline
250,74,12,124.3780487804878,baseline
251,74,10,125.28048780487805,baseline
252,74,11,126.1829268292683,baseline
253,74,12,127.08536585365853,baseline
254,74,12,127.98780487804878,baseline
255,74,13,128.890243902439,baseline
256,76,13,126.72619047619048,baseline
257,76,12,127.63095238095238,baseline
258,76,13,128.53571428571428,baseline
259,76,13,129.4404761904762,baseline
260,76,13,130.3452380952381,baseline
261,76,14,131.25,baseline
262,76,14,132.1547619047619,baseline
263,76,14,133.0595238095238,baseline
264,78,14,130.87209302325581,baseline
265,78,15,131.77906976744185,baseline
266,78,16,132.6860465116279,baseline
267,77,15,133.58139534883722,baseline
268,76,16,134.46511627906978,baseline
269,76,17,135.34883720930233,baseline
270,78,18,133.1590909090909,baseline
271,77,18,134.0340909090909,baseline
272,79,19,131.93333333333334,baseline
273,79,21,132.8111111111111,baseline
274,78,21,133.67777777777778,baseline
275,78,22,134.54444444444445,baseline
276,77,23,135.4,baseline
277,77,23,136.25555555555556,baseline
278,77,24,137.11111111111111,baseline
279,77,22,137.96666666666667,baseline
280,78,20,135.81521739130434,baseline
281,78,19,136.66304347826087,baseline
282,77,18,137.5,baseline
283,77,18,138.33695652173913,baseline
284,77,20,139.17391304347825,baseline
285,77,18,140.0108695652174,baseline
286,76,17,140.83695652173913,baseline
287,75,16,141.65217391304347,baseline
288,77,15,139.45744680851064,baseline
289,77,14,140.27659574468086,baseline
290,77,14,141.09574468085106,baseline
291,76,13,141.90425531914894,baseline
292,75,14,142.70212765957447,baseline
293,74,14,143.48936170212767,baseline
294,74,14,144.27659574468086,baseline
295,74,14,145.06382978723406,baseline
296,76,14,142.83333333333334,baseline
297,76,13,143.625,baseline
298,76,13,144.41666666666666,baseline
299,76,14,145.20833333333334,baseline
300,77,13,143.03061224489795,baseline
301,77,14,143.81632653061226,baseline
302,77,13,144.60204081632654,baseline
303,77,13,145.3877551020408,baseline
304,79,14,143.27,baseline
305,78,14,144.05,baseline
306,78,14,144.83,baseline
307,78,17,145.61,baseline
308,78,16,146.39,baseline
309,78,15,147.17,baseline
310,78,15,147.95,baseline
311,78,15,148.73,baseline
312,80,14,146.59803921568627,baseline
313,80,16,147.38235294117646,baseline
314,80,15,148.16666666666666,baseline
315,80,13,148.95098039215685,baseline
316,80,14,149.73529411764707,baseline
317,80,14,150.51960784313727,baseline
318,80,13,151.30392156862746,baseline
319,80,15,152.08823529411765,baseline
320,82,16,149.95192307692307,baseline
321,81,16,150.73076923076923,baseline
322,81,17,151.5096153846154,baseline
323,81,17,152.28846153846155,baseline
324,81,17,153.06730769230768,baseline
325,80,19,153.83653846153845,baseline
326,80,19,154.60576923076923,baseline
327,80,20,155.375,baseline
328,82,22,153.21698113207546,baseline
329,82,24,153.99056603773585,baseline
330,83,25,151.91666666666666,baseline
331,84,27,152.69444444444446,baseline
332,84,27,153.47222222222223,baseline
333,84,28,154.25,baseline
334,84,31,155.02777777777777,baseline
335,84,31,155.80555555555554,baseline
336,86,31,153.75454545454545,baseline
337,86,33,154.53636363636363,baseline
338,86,32,155.3181818181818,baseline
339,86,31,156.1,baseline
340,86,33,156.88181818181818,baseline
341,86,32,157.66363636363636,baseline
342,86,34,158.44545454545454,baseline
343,86,35,159.22727272727272,baseline
344,87,36,157.16071428571428,baseline
345,87,36,157.9375,baseline
346,87,37,158.71428571428572,baseline
347,87,37,159.49107142857142,baseline
348,87,39,160.26785714285714,baseline
349,87,35,161.04464285714286,baseline
350,87,33,161.82142857142858,baseline
351,87,32,162.59821428571428,baseline
352,89,32,160.52631578947367,baseline
353,89,32,161.30701754385964,baseline
354,89,34,162.08771929824562,baseline
355,89,36,162.8684210526316,baseline
356,89,36,163.64912280701753,baseline
357,89,35,164.4298245614035,baseline
358,89,37,165.21052631578948,baseline
359,89,36,165.99122807017545,baseline
360,93,33,161.15254237288136,baseline
361,93,34,161.9406779661017,baseline
362,93,33,162.72881355932202,baseline
363,93,32,163.51694915254237,baseline
364,93,34,164.3050847457627,baseline
365,93,32,165.09322033898306,baseline
366,93,31,165.88135593220338,baseline
367,93,32,166.66949152542372,baseline
368,94,31,164.675,baseline
369,94,29,165.45833333333334,baseline
370,94,32,166.24166666666667,baseline
371,94,32,167.025,baseline
372,94,30,167.80833333333334,baseline
373,94,30,168.59166666666667,baseline
374,94,29,169.375,baseline
375,93,28,170.15,baseline
376,95,28,168.13934426229508,baseline
377,95,29,168.91803278688525,baseline
378,95,29,169.69672131147541,baseline
379,95,31,170.47540983606558,baseline
380,95,31,171.25409836065575,baseline
381,95,30,172.0327868852459,baseline
382,94,31,172.80327868852459,baseline
383,94,31,173.5737704918033,baseline
384,96,27,171.5483870967742,baseline
385,96,27,172.32258064516128,baseline
386,96,26,173.09677419354838,baseline
387,96,23,173.8709677419355,baseline
388,95,26,174.63709677419354,baseline
389,94,26,175.3951612903226,baseline
390,96,26,173.37301587301587,baseline
391,96,27,174.13492063492063,baseline
392,98,26,172.1796875,baseline
393,97,26,172.9375,baseline
394,97,26,173.6953125,baseline
395,97,28,174.453125,baseline
396,97,27,175.2109375,baseline
397,97,28,175.96875,baseline
398,97,29,176.7265625,baseline
399,97,29,177.484375,baseline
400,99,30,175.51538461538462,baseline
401,99,31,176.27692307692308,baseline
402,99,32,177.03846153846155,baseline
403,99,32,177.8,baseline
404,98,33,178.55384615384617,baseline
405,98,35,179.30769230769232,baseline
406,98,36,180.06153846153848,baseline
407,97,37,180.80769230769232,baseline
408,98,39,178.81060606060606,baseline
409,97,40,179.54545454545453,baseline
410,96,41,180.27272727272728,baseline
411,95,43,180.99242424242425,baseline
412,95,44,181.71212121212122,baseline
413,95,44,182.4318181818182,baseline
414,94,45,183.1439393939394,baseline
415,93,46,183.84848484848484,baseline
416,94,46,181.80597014925374,baseline
417,93,47,182.5,baseline
418,92,49,183.1865671641791,baseline
419,92,46,183.87313432835822,baseline
420,94,44,181.86029411764707,baseline
421,93,43,182.5441176470588,baseline
422,93,44,183.22794117647058,baseline
423,91,43,183.89705882352942,baseline
424,93,41,181.90579710144928,baseline
425,92,40,182.57246376811594,baseline
426,91,40,183.231884057971,baseline
427,91,39,183.8913043478261,baseline
428,91,40,184.55072463768116,baseline
429,91,40,185.21014492753622,baseline
430,91,38,185.8695652173913,baseline
431,91,38,186.52898550724638,baseline
432,93,37,184.52857142857144,baseline
433,93,36,185.19285714285715,baseline
434,93,36,185.85714285714286,baseline
435,93,37,186.52142857142857,baseline
436,93,36,187.18571428571428,baseline
437,93,36,187.85,baseline
438,93,35,188.5142857142857,baseline
439,93,35,189.17857142857142,baseline
440,94,35,187.18309859154928,baseline
